E_y,E_z,E_y_uK,E_z_uK,Transmission
5.9634631349999995e-27,1.3310449717319998e-26,431.93187660295985,964.0719485778063,0.8512064949316648
5.9634631349999995e-27,1.3739819063039998e-26,431.93187660295985,995.1710436932194,0.8590375005062926
5.9634631349999995e-27,1.416918840876e-26,431.93187660295985,1026.2701388086327,0.8663676182560831
5.9634631349999995e-27,1.459855775448e-26,431.93187660295985,1057.3692339240458,0.8732418853111766
5.9634631349999995e-27,1.5027927100199997e-26,431.93187660295985,1088.4683290394587,0.8808856578601734
5.9634631349999995e-27,1.5457296445919997e-26,431.93187660295985,1119.5674241548718,0.8869438562369903
5.9634631349999995e-27,1.5886665791639998e-26,431.93187660295985,1150.666519270285,0.8937379131712374
5.9634631349999995e-27,1.6316035137359998e-26,431.93187660295985,1181.7656143856982,0.9001628504936507
5.9634631349999995e-27,1.674540448308e-26,431.93187660295985,1212.8647095011113,0.9072767474376346
5.9634631349999995e-27,1.7174773828799996e-26,431.93187660295985,1243.9638046165244,0.9129911084113864
5.9634631349999995e-27,1.7604143174519997e-26,431.93187660295985,1275.0628997319375,0.9193893728059472
5.9634631349999995e-27,1.8033512520239997e-26,431.93187660295985,1306.1619948473506,0.9254526343629573
5.9634631349999995e-27,1.8462881865959998e-26,431.93187660295985,1337.2610899627634,0.9312044144419659
5.9634631349999995e-27,1.8892251211679998e-26,431.93187660295985,1368.3601850781768,0.9366660650605545
5.9634631349999995e-27,1.93216205574e-26,431.93187660295985,1399.4592801935898,0.9427446227939598
5.9634631349999995e-27,1.9750989903119997e-26,431.93187660295985,1430.5583753090027,0.9485251638497503
5.9634631349999995e-27,2.0180359248839997e-26,431.93187660295985,1461.657470424416,0.9540268466045637
5.9634631349999995e-27,2.0609728594559997e-26,431.93187660295985,1492.7565655398291,0.959267376572714
5.9634631349999995e-27,2.1039097940279998e-26,431.93187660295985,1523.8556606552422,0.9650657845976838
5.9634631349999995e-27,2.1468467285999998e-26,431.93187660295985,1554.9547557706553,0.9705960765147957
8.9451947025e-27,0.0,647.8978149044398,0.0,0.20143331258828118
8.9451947025e-27,4.2936934571999995e-28,647.8978149044398,31.099095115413107,0.22006356585624476
8.9451947025e-27,8.587386914399999e-28,647.8978149044398,62.198190230826214,0.24142241513230808
8.9451947025e-27,1.2881080371599998e-27,647.8978149044398,93.29728534623932,0.26562012316195194
8.9451947025e-27,1.7174773828799998e-27,647.8978149044398,124.39638046165243,0.29273251956512697
8.9451947025e-27,2.1468467285999996e-27,647.8978149044398,155.49547557706555,0.32297452803305465
8.9451947025e-27,2.5762160743199997e-27,647.8978149044398,186.59457069247864,0.355392728180445
8.9451947025e-27,3.0055854200399998e-27,647.8978149044398,217.69366580789176,0.3898088320839263
8.9451947025e-27,3.4349547657599996e-27,647.8978149044398,248.79276092330485,0.42502724927358054
8.9451947025e-27,3.864324111479999e-27,647.8978149044398,279.89185603871795,0.4612813559651027
8.9451947025e-27,4.293693457199999e-27,647.8978149044398,310.9909511541311,0.4966973792684662
8.9451947025e-27,4.7230628029199996e-27,647.8978149044398,342.0900462695442,0.5305711983001845
8.9451947025e-27,5.1524321486399994e-27,647.8978149044398,373.1891413849573,0.5622836905023829
8.9451947025e-27,5.581801494359999e-27,647.8978149044398,404.2882365003704,0.5913426897202435
8.9451947025e-27,6.0111708400799996e-27,647.8978149044398,435.3873316157835,0.6190847839170958
8.9451947025e-27,6.4405401857999994e-27,647.8978149044398,466.4864267311966,0.6437727096835476
8.9451947025e-27,6.869909531519999e-27,647.8978149044398,497.5855218466097,0.6669157707301219
8.9451947025e-27,7.29927887724e-27,647.8978149044398,528.6846169620229,0.6865849227593813
8.9451947025e-27,7.728648222959999e-27,647.8978149044398,559.7837120774359,0.7050574376949118
8.9451947025e-27,8.158017568679999e-27,647.8978149044398,590.8828071928491,0.722083960199939
8.9451947025e-27,8.587386914399998e-27,647.8978149044398,621.9819023082622,0.7381214544288723
